PosScore,NegScore,SynsetTermsSplitted,বঙ্গানুবাদ
0,0,columbia tiger lily,কলাম্বিয়া বাঘ কমল
0,0.5,backseat,কলার
0.125,0.125,hot under the collar,কলার অধীনে গরম
0,0,caller id,কলার আইডি
0,0,banana peel,কলার খোসা
0,0.25,banana skin,কলার খোসায়
0.25,0,backseat driver,কলার চালক
0,0,collared lizard,কলার টিকটিকি
0,0,collared peccary,কলার দক্ষিণ আমেরিকার শূকসদৃশ প্রাণীবিশেষ
0.25,0,collar blight,কলার ব্লাইট
0,0,collar cell,কলার সেল
0,0,histology,কলাস্থান
0,0,calling,কলিং
0.375,0,calling card,কলিং কার্ড
0,0,bourgeon,কলিকা
0,0,calcutta,কলিকাতা
0,0,quicklime,কলিচুন
0,0,colin powell,কলিন পাওয়েল
0,0,colin luther powell,কলিন লুথার পাওয়েল
0,0,collins,কলিন্স
0,0,collis potter huntington,কলিস কুমোরের হান্টিংটন
0,0,coliseum,কলিসীয়াম
0,0,oilman,কলু
0.375,0.125,unspoilt,কলুষমুক্ত
0.25,0,contaminated,কলুষিত
0,0,trick or treat,কলে বা কৌশলে
0,0,college,কলেজ
0,0,college student,কলেজ ছাত্র
0,0,college boy,কলেজ ছেলে
0,0,college level,কলেজ পর্যায়ে
0,0,college man,কলেজ মানুষ
0,0,sorority,কলেজ মেয়েদের সমিতি
0,0,collegiate,কলেজ-সম্বন্ধীয়
0,0,collegiate dictionary,কলেজিয়েট অভিধান
0,0,collegian,কলেজের ছাত্র
0,0,college girl,কলেজের মেয়ে
0,0,tap water,কলের পানি
0,0,cholera,কলেরা
0,0,cholelithiasis,কলেলিথিয়াসিস
0,0,cholesterol,কলেস্টেরল
0,0,colombia,কলোমবিয়া
0,0,colombian,কলোমবিয়াদেশসঙ্ক্রান্ত
0,0,colorado,কলোরাডো
0,0,colorado potato beetle,কলোরাডো আলু পোকা
0,0,colorado river,কলোরাডো নদী
0,0,colorado river hemp,কলোরাডো নদী শণ
0,0,colorado spruce,কলোরাডো ফিটফাট
0,0,colorado blue spruce,কলোরাডো ব্লু স্প্রুস
0,0,colorado desert,কলোরাডো মরুভূমি
0,0,colorado plateau,কলোরাডো মালভূমিতে
0,0,colorado springs,কলোরাডো স্প্রিংস
0,0,colorectal,কলোরেক্টাল
0,0,kalki,কল্কি
0,0,colza,কল্জা উদ্ভিদ
0,0,colza oil,কল্জার তৈল
0.125,0.375,phantasy world,কল্প-কথা বিশ্বের
0,0,imagination image,কল্পনা ইমেজ
0,0,conceive,কল্পনা করা
0,0,theorise,কল্পনা বা অনুমান করা
0,0,deviser,কল্পনাকারী
0,0,supposedly,কল্পনানুসারে
0,0,imaginative,কল্পনাপ্রবণ
0.25,0.25,imaginative comparison,কল্পনাপ্রবণ তুলনা
0,0,vapourish,কল্পনাবিলাসী
0,0,cogitable,কল্পনাযোগ্য
0.125,0,unimaginative,কল্পনাশক্তিরহিত
0,0,ascribable,কল্পনীয়
0,0.25,ruritanian,কল্পরাজ্য-সম্পর্কিত
0,0,utopia,কল্পলোক
0,0,utopianism,কল্পস্বর্গবাদ
0.625,0,contrived,কল্পিত
0,0,kickshaw,কল্পিত খাবার
0,0,centaur,কল্পিত জীব
0,0,cockatrice,কল্পিত সর্পদানব
0.5,0,kindly,কল্যাণকামী
0,0,altruistic,কল্যাণময়
0,0,whiplash,কশা
0,0.5,whiplash injury,কশা আঘাত
0,0,lash,কশাঘাত
0,0,streak,কষ
0,0,tan,কষা
0.375,0.25,strictness,কষাকষি
0,0.25,hardship,কষ্ট
0,0.375,trouble shooter,কষ্ট শ্যুটার
0,0.25,trouble maker,কষ্ট সৃষ্টিকর্তা
0,0.125,trouble-shoot,কষ্ট-অঙ্কুর
0,0,cumbersome,কষ্টকর
0,0,spiny lobster,কষ্টকর গলদা চিংড়ি
0,0,spiny lizard,কষ্টকর টিকটিকি
0.25,0,spiny-edged,কষ্টকর নিরাপদ্
0.25,0,spiny-leaved,কষ্টকর পত্রী
0,0,vexatious litigation,কষ্টকর মোকদ্দমা
0,0.125,spiny-backed,কষ্টকর সমর্থিত
0.25,0,spiny-stemmed,কষ্টকর-পক্ষপাতিত্ব
0.375,0,arduously,কষ্টসহকারে
0,0.25,clamber,কষ্টসহকারে আরোহণ
0,0,hardly a,কষ্টসহকারে একটি
0,0,hardy,কষ্টসহিষ্ণু
0.25,0,hard up,কষ্টসাধ্য
0.25,0,onerousness,কষ্টসাধ্যতা
0,0,grin,কষ্টহাসি
0,0,cauterize,কষ্টিক দ্বারা দগ্ধ করা
0,0,cauterization,কষ্টিক দ্বারা দহন
0,0,touchstone,কষ্টিপাথর
0,0,kos,কস
0,0,cosmic microwave background,কসমিক মাইক্রোওয়েভ ব্যাকগ্রাউন্ড
0,0,cosmic microwave background radiation,কসমিক মাইক্রোওয়েভ ব্যাকগ্রাউন্ড রেডিয়েশন
0,0,drill,কসরত
0,0,causa,কসা
0,0.375,butcher,কসাই
0,0,butcher's broom,কসাই এর ঝাড়ু
0,0,butcher paper,কসাই কাগজের
0,0,butcher board,কসাই বোর্ড
0,0.375,butcher block,কসাই ব্লক
0,0,abattoir,কসাইখানা
0,0,butcherly,কসাইবৎ
0,0,cossack,কসাক সৈনিক
0,0,kosciuszko,কসিয়াস্ক
0,0,kosovo,কসোভো
0.125,0.25,cousteau,কস্টি
0,0,caustic lime,কস্টিক চুন
0,0,caustic potash,কস্টিক পটাশ
0,0,caustic remark,কস্টিক মন্তব্য
0,0,musk,কস্তুরী
0,0,musk mallow,কস্তুরী উদ্ভিদবিশেষ
0,0,musk turtle,কস্তুরী কচ্ছপ
0,0,musk thistle,কস্তুরী কাঁটাগাছ
0,0,musk kangaroo,কস্তুরী ক্যাঙ্গারু
0,0,musk clover,কস্তুরী ক্লোভার
0,0,musk rose,কস্তুরী গোলাপ
0,0,musk hog,কস্তুরী বরা
0,0,musk ox,কস্তুরী বলদ
0,0,musk sheep,কস্তুরী ভেড়া
0,0,musk duck,কস্তুরী হাঁস
0,0,musk-scented,কস্তুরী-সুবাসিত
0,0,musk deer,কস্তুর্রীমৃগ
0,0,asp,কস্পমান
0.625,0,explicable,কহতব্য
0,0,copal,কহরোবা
0,0,anticipate,কহা
0,0,ka,কা
0,0,crab,কাঁকড়া
0,0,crab apple,কাঁকড়া আপেল
0,0.25,crab louse,কাঁকড়া উকুন
0,0,crab cocktail,কাঁকড়া ককটেল
0,0,crab grass,কাঁকড়া ঘাস
0,0,crab nebula,কাঁকড়া নীহারিকা
0,0,crab legs,কাঁকড়া পা
0,0,crab cactus,কাঁকড়া ফণীমনসা
0,0.25,crab louis,কাঁকড়া লুই
0,0,cucumis melo,কাঁকুড়
0,0,gravelly,কাঁকুরে
0.125,0,rhinestone,কাঁচ
0,0,glass cutter,কাঁচ কাটা যন্ত্র
0,0,vulcanite,কাঁচকড়া
0,0,whalebone whale,কাঁচকড়া তিমি
0.375,0,in the raw,কাঁচা
0,0,provisional irish republican army,কাঁচা আইরিশ রিপাবলিকান আর্মি
0,0.375,raw weather,কাঁচা আবহাওয়া
0,0,raw umber,কাঁচা আমভের
0,0.625,raw wool,কাঁচা উল
0,0.5,raw wood,কাঁচা কাঠ
0,0,raw wound,কাঁচা ক্ষত
0.5,0,raw throat,কাঁচা গলা
0,0,rawhide,কাঁচা চামড়ায় তৈয়ারি
0,0.25,raw milk,কাঁচা দুধ
0.5,0,raw talent,কাঁচা প্রতিভা
0,0,chili,কাঁচা মরিচ
0,0,chili dog,কাঁচা মরিচ কুকুর
0,0.375,chili vinegar,কাঁচা মরিচ ভিনেগার
0,0,chili pepper,কাঁচা মরিচ মরিচ
0,0.25,chili sauce,কাঁচা মরিচ সস
0,0,raw meat,কাঁচা মাংস
0,0.125,raw recruit,কাঁচা রংরুট
0,0,pig iron,কাঁচা লোহা
0,0,raw vegetable,কাঁচা সবজি
0.625,0,raw beauty,কাঁচা সৌন্দর্য
0.5,0,raw material,কাঁচামাল
0,0,scissors,কাঁচি
0,0,scissors grip,কাঁচি খপ্পর
0,0,scissor,কাঁচি দিয়া কাটা
0,0,scissor grip,কাঁচি দিয়া কাটা খপ্পর
0,0,scissor hold,কাঁচি দিয়া কাটা হোল্ড
0,0,scissor-tailed,কাঁচি দিয়া কাটা-টেইলড
0,0,scissors hold,কাঁচি রাখা
0,0,scissors kick,কাঁচি লাথি
0,0.125,scared,কাঁচুমাচু
0.125,0.5,sheepishness,কাঁচুমাচু ভাব
0,0,brassiere,কাঁচুলি
0,0,barbed,কাঁটা
0,0,thorn apple,কাঁটা আপেল
0,0,thorny amaranth,কাঁটা পারিজাত
0,0,thorny skate,কাঁটা স্কেইট্
0,0.125,gorse,কাঁটাওয়ালা চিরহরিত্ গুল্ম
0.25,0,spinose,কাঁটাকাঁটা
0,0,thistle,কাঁটাগাছ
0,0,nodding thistle,কাঁটাগাছ অল্প সময়ের
0,0,sow thistle,কাঁটাগাছ বীজ বপন
0,0,creeping thistle,কাঁটাগাছ লতানে
0,0,thistledown,কাঁটাগাছের বীজ
0,0.375,bramble,কাঁটাঝোপ
0,0,barbed wire,কাঁটাতার
0,0.625,thorn-tipped,কাঁটা-পরান
0,0,weeping willow,কাঁদছেন ক্রিকেট খেলার ব্যাট
0,0.125,piteous,কাঁদুনে
0,0,tear gas,কাঁদুনে গ্যাস
0,0.125,shoulder holster,কাঁধ খাপ
0,0,shoulder girdle,কাঁধ ঘের
0.125,0,shoulder strap,কাঁধ চাবুক
0.125,0.125,shoulder mark,কাঁধ চিহ্ন
0.25,0,baldric,"কাঁধ থেকে আড়াআড়িভাবে লাগানো বেল্ট বা বন্ধনী যাতে তরবারি, রণশিঙা ইত্যাদি আটকানো থাকে"
0.125,0,shoulder patch,কাঁধ প্যাচ
0,0.125,shoulder pad,কাঁধ প্যাড
0,0,shoulder board,কাঁধ বোর্ড
0.125,0,shoulder vise,কাঁধ ভীসা
0,0,shoulder joint,কাঁধ যুগ্ম
0,0,shoulder bone,কাঁধ হাড়
0,0,shouldered,কাঁধে
0,0,shoulder-to-shoulder,কাঁধে কাঁধ
0,0,shouldered arch,কাঁধে খিলান
0,0,shoulder bag,কাঁধে ব্যাগ
0,0,overarm,কাঁধের ওপর দিয়ে হাত ঘুরিয়ে
0.25,0,shakily,কাঁপতে কাঁপতে
0,0.125,shivery,কাঁপন-ধরানো
0,0,dither,কাঁপা
0,0,bell metal,কাংস্য
0,0.25,dregs,কাইট
0,0,chiton,কাইতেন
0,0,kinase,কাইনেস
0,0.25,chiron,কাইরন
0,0,chylomicron,কাইলমাইক্রন
0,0,kylie,কাইলি
0,0,dissuade,কাউকে ফিরিয়ে আনার
0,0,count down,কাউন্ট ডাউন
0,0,countdown,কাউন্টডাউন
0,0.5,counter conditioning,কাউন্টার কন্ডিশনার
0,0,counter tube,কাউন্টার নল
0,0,over the counter security,কাউন্টার নিরাপত্তা উপর
0,0,over the counter stock,কাউন্টার স্টক উপর
0,0,counterstrike,কাউন্টার স্ট্রাইক
0,0,countertop,কাউন্টারটপ
0,0,countersink,কাউন্টার্সিঁক্
0,0,countersink bit,কাউন্টার্সিঁক্ বিট
0,0,county seat,কাউন্টি আসন
0,0,county agent,কাউন্টি এজেন্ট
0,0,county council,কাউন্টি কাউন্সিল
0,0,county courthouse,কাউন্টি বিচারালয়
0,0,county line,কাউন্টি লাইন
0,0,county town,কাউন্টি শহর
0,0,countess,কাউন্টেস
0,0,council chamber,কাউন্সিল চেম্বার
0,0,council table,কাউন্সিল টেবিল
0,0,council tax,কাউন্সিল ট্যাক্স
0,0,council board,কাউন্সিল বোর্ড
0,0,councilman,কাউন্সিলকর্তা
0,0,councillor,কাউন্সিলর
0,0,council member,কাউন্সিলের সদস্য
0,0,counseling,কাউন্সেলিং
0,0.75,kauai,কাউয়াইয়ের
0,0,cowling,কাউলিং
0,0,cowlick,কাউলিক
0,0,kwacha,কাওয়াচা
0,0,kawasaki disease,কাওয়াসাকি রোগ
0,0.5,cripple,কাক
0.125,0,crow-sized,কাক আকারের
0,0,crow step,কাক পদক্ষেপ
0,0.125,crow corn,কাক ভূট্টা
0,0.125,crow garlic,কাক রসুন
0.375,0,crow-bait,কাক-টোপ
0,0,coincidentally,কাকতালীয়ভাবে
0,0,caret,কাকপদ
0,0,corvine,কাক-সম্বন্ধীয়
0,0,corvine bird,কাক-সম্বন্ধীয় পাখি
0,0,cockatoo,কাকাতুয়া
0,0,cockatoo parrot,কাকাতুয়া তোতাপাখি
0,0,caw,কাকের ডাক
0,0,orbital,কাক্ষিক
0,0,paper,কাগজ
0.375,0.125,paper plant,কাগজ উদ্ভিদ
0,0,paper cutter,কাগজ কর্তনকারী
0,0,paper mill,কাগজ কারখানা
0,0,paper chromatography,কাগজ ক্রোমাটোগ্রাফি
0,0,paper towel,কাগজ গামছা
0,0,paper tape,কাগজ টেপ
0,0,paper mulberry,কাগজ তুঁত
0,0,papermaking,কাগজ তৈরি
0,0,paper toweling,কাগজ তোয়ালের কাপড়
0.375,0.125,paper nautilus,কাগজ নটিলাস
0,0,paper doll,কাগজ পুতুল
0,0,paper tiger,কাগজ বাঘ
0,0,paper birch,কাগজ বার্চ
0,0,paper round,কাগজ বৃত্তাকার
0,0,paper wasp,কাগজ বোলতা
0,0,paper rush,কাগজ ভিড়ের
0,0,paper chase,কাগজ মৃগয়া
0,0,paper route,কাগজ রুট
0,0,paper chain,কাগজ শৃঙ্খল
0,0,paper white,কাগজ সাদা
0,0,paper-mache,কাগজ সুটকেস
0,0,paper gold,কাগজ স্বর্ণ
0,0,paper loss,কাগজ হ্রাস
0.125,0,papery,কাগজ-তুল্য
0,0,papers,কাগজপত্র
0,0,bougainvillea,কাগজফুলের গাছ
0,0,paper-pusher,কাগজ-বিমানপোত
0,0,on paper,কাগজে
0,0,paper cup,কাগজের কাপ
0.125,0,pinwheel,কাগজের চরকা
0,0,pinwheel wind collector,কাগজের চরকা বায়ু সংগ্রাহক
0,0,pinwheel roll,কাগজের চরকা রোল
0.125,0,pinwheel-shaped,কাগজের চরকা-আকৃতির
0,0,paper currency,কাগজের টাকা
0,0,paper plate,কাগজের প্লেট
0,0,paper bag,কাগজের ব্যাগ
0,0,papier-mache,কাগজের মণ্ড সুটকেস
0,0,newspaperman,কাগজের লোক
0,0.25,pauper,কাঙ্গাল
0,0,glass,কাচ
0,0,pheasant under glass,কাচ অধীনে রঙ্গীন পক্ষীবিশেষ
0,0,glass over,কাচ উপর
0,0,glass lizard,কাচ টিকটিকি
0,0,glass-like,কাচ মত
0,0,casement window,কাচ লাগানো পাল্লা উইন্ডোর
0,0,glass snake,কাচ সাপ
0,0,glass ceiling,কাচ সিলিং
0,0,glass sponge,কাচ স্পঞ্জ
0.375,0,hyaloid,কাচতুল্য
0.25,0,hyaloid membrane,কাচতুল্য ঝিল্লি
0,0,glassblower,কাচনির্মাতা
0,0,glassware,কাচপাত্র
0,0,crown glass,কাচবিশেষ
0,0,launder,কাচা
0.125,0,vitreous,কাচিক
0.125,0,vitreous humor,কাচিক মেজাজ
0.125,0,vitreous body,কাচিক শরীর
0.25,0,vitreous silica,কাচিক সিলিকা
0,0,kachin,কাচিন
0.25,0,glassy,কাচের
0,0,glassworks,কাচের কারখানা
0,0,sheet glass,কাচের চাদর
0,0,glasswork,কাচের বাসন
0,0,obsidian,কাচের মতো দেখতে একজাতীয় আগ্নেয়শিলা
0,0,glass wool,কাচের সূক্ষ্ম তন্তু
0,0,around,কাছাকাছি
0,0,come around,কাছাকাছি আসতে
0.125,0,close up,কাছাকাছি আসা
0,0,drive around,কাছাকাছি চালনা
0,0,breech closer,কাছাকাছি চোগা
0,0.25,near thing,কাছাকাছি জিনিস
0,0,near vision,কাছাকাছি দৃষ্টি
0,0,get around to,কাছাকাছি পেতে
0,0.375,sit around,কাছাকাছি বসতে
0,0,near beer,কাছাকাছি বিয়ার
0.25,0,near-death experience,কাছাকাছি মৃত্যুর অভিজ্ঞতা
0,0,near gale,কাছাকাছি মৃদুমন্দ বায়ু
0,0,near-blind,কাছাকাছি-অন্ধ
0,0,run down,কাছান
0,0,hawser,কাছি
0,0,hawser bend,কাছি মোড়
0,0,pulling,কাছে
0,0,come close,কাছে এসো
0.125,0,act on,কাজ
0,0,work study,কাজ অধ্যয়ন
0,0,scrimshank,কাজ এড়ান
0.375,0.25,do work,কাজ কর
0.125,0.125,make-work,কাজ করতে
0,0,work at,কাজ করে
0,0,job action,কাজ কর্ম
0,0,works council,কাজ কাউন্সিল
0,0,work papers,কাজ কাগজপত্র
0,0,job's tears,কাজ কান্না
0,0,working dog,কাজ কুকুর
0,0,work song,কাজ গান
0,0,working group,কাজ গ্রুপ
0,0,work in progress,কাজ চলছে
0,0,working agreement,কাজ চুক্তি
0,0.125,work stoppage,কাজ ছেক
0,0,work shoe,কাজ জুতো
0,0,work table,কাজ টেবিল
0,0,work day,কাজ দিন
0,0,job control,কাজ নিয়ন্ত্রণ
0,0,working rule,কাজ নিয়ম
0,0,working principle,কাজ নীতি
0,0,work animal,কাজ পশু
0,0,work party,কাজ পার্টি
0,0,job candidate,কাজ প্রার্থী
0,0,works program,কাজ প্রোগ্রাম
0,0,unyoke,কাজ বন্ধ করা
0,0,work bench,কাজ বেঞ্চ
0,0,working person,কাজ ব্যক্তি
0,0,working memory,কাজ মেমরি
0,0,working girl,কাজ মেয়ে
0,0,work-in,কাজ-ইন
0,0,elbow room,কাজকর্মের পক্ষে পর্যাপ্ত জায়গা
0,0,cuzco,কাজকো
0,0,work-clothes,কাজ-জামাকাপড়
0,0,work-clothing,কাজ-পোশাক
0,0,work-board,কাজ-বোর্ড
0,0,work-shy,কাজ-লাজুক
0,0,work-shirt,কাজ-শার্ট
0,0,kazakhstan,কাজাকস্থান
0,0,kazakh,কাজাখ
0,0,kazakhstani monetary unit,কাজাখ আর্থিক ইউনিট
0,0,kazan,কাজান
0,0,anacardium occidentale,কাজু
0,0,cajun,কাজুন
0.5,0.25,astonishingly,কাজে অবিশ্বাস্য
0.25,0,harnessed antelope,কাজে নিয়োজিত সারং
0,0,booked,কাজে ব্যস্ত
0,0,headroom,কাজে লাগতো
0,0,put to work,কাজে লাগাতে
0.5,0,exploit,কাজে লাগান
0.25,0,doings,কাজের
0,0,work permit,কাজের অনুমতি
0,0,work over,কাজের উপর
0,0,work unit,কাজের একক
0,0,working papers,কাজের কাগজ
0,0,workload,কাজের চাপ
0,0,work load,কাজের চাপের
0,0,wok,কাজের জায়গায়
0,0,working day,কাজের দিন
0,0,workwear,কাজের পোশাক
0.5,0,working out,কাজের বাইরে
0,0,job description,কাজের বিবরণী
0.25,0,businesslike,কাজের মতন
0,0.125,unreason,কাজের মধ্যে যুক্তির অভাব
0,0,babysitter,কাজের মেয়ে
0.125,0,work time,কাজের সময়
0,0,kanchenjunga,কাঞ্চনজঙ্ঘা
0,0,vend,কাটতি
0,0,chop shot,কাটতে শট
0,0,spinning,কাটনা
0,0,spinning machine,কাটনা মেশিন
0,0,spinning rod,কাটনা যষ্টি
0,0.375,asperity,কাটব্য
0.5,0,scintillating,কাটল
0,0.125,braided,কাটা
0,0,cut-and-dried,কাটা এবং শুকনো
0,0,cutting angle,কাটা কোণ
0,0,bobtailed,কাটা লেজত্তয়ালা
0.125,0.25,cut-rate,কাটা হার
0.25,0.25,cut-and-thrust,কাটা-এবং-খোঁচা
0.25,0.25,cut-and-dry,কাটা-এবং-শুষ্ক
0,0,retouch,কাটাকুটি
0,0,cut-price,কাটা-দাম
0,0,lodge in,কাটাবে
0,0,cutting tool,কাটার যন্ত্রপাতি
0,0,chopper,কাটারী
0,0,cutting implement,কাটিং বাস্তবায়ন
0,0,cutting board,কাটিং বোর্ড
0,0,cutting-edge,কাটিং-এজ
0,0,cutting room,কাটিঙ্রূম
0,0,cutting edge,কাটিয়া প্রান্ত
0,0,cut away,কাটিয়া বাদ দেত্তয়া
0,0,cutaway,কাট্যাউয়েই
0,0,wood,কাঠ
0,0,wood spirit,কাঠ আত্মা
0,0,wood tar,কাঠ আলকাতরা
0,0,wood rat,কাঠ ইঁদুর
0,0,wood sage,কাঠ ঋষি
0,0,wood alcohol,কাঠ এলকোহল
0,0,wood hyacinth,কাঠ কচুরিপানা
0,0,wood lily,কাঠ কমল
0,0,wood coal,কাঠ কয়লা
0,0,wood rabbit,কাঠ খরগোশ
0,0,wood engraving,কাঠ খোদাই
0,0,timber tree,কাঠ গাছ
0,0,wood warbler,কাঠ গায়ক
0,0,wood thrush,কাঠ গায়ক পক্ষী
0,0,wood laurel,কাঠ গুল্মবিশেষ
0,0,wood swallow,কাঠ গেলা
0,0,wood sugar,কাঠ চিনি
0,0,lumber,কাঠ চেরাই
0,0,lumber jacket,কাঠ চেরাই জ্যাকেট
0,0,lumber room,কাঠ চেরাই রুম
0,0,wood nymph,কাঠ জলপরী
0,0,timber hitch,কাঠ ঝিঁকা
0,0,wood mint,কাঠ টাকশাল
0,0,wood tick,কাঠ টিক
0,0,stave wood,কাঠ ঠেকিয়ে
0,0,wood drake,কাঠ ড্রেক
0,0,wood aster,কাঠ তারাফুল
0,0,wood ibis,কাঠ দোচরা
0,0,bow wood,কাঠ নম
0,0,wood sorrel,কাঠ পিঙ্গলবর্ণ
0,0,creeping wood sorrel,কাঠ পিঙ্গলবর্ণ লতানে
0,0,wood ant,কাঠ পিপীলিকা
0,0,wood-burning,কাঠ পোড়ানো
0,0,wood poppy,কাঠ পোস্ত
0,0,wood chisel,কাঠ বাটালি
0,0,tung oil,কাঠ বার্নিশ করার কাজের তেল
0,0,wood nettle,কাঠ বিছুটি
0,0,wood violet,কাঠ বেগুনি
0,0,wood pussy,কাঠ ভগ
0.125,0,woodcarver,কাঠ ভাস্কর
0,0,wood vinegar,কাঠ ভিনেগার
0,0,wood vise,কাঠ ভীসা
0,0,wood mouse,কাঠ মাউস
0,0.125,wood hen,কাঠ মুরগি
0,0.125,wood garlic,কাঠ রসুন
0,0,timber rattlesnake,কাঠ র্যাটল
0,0,timber line,কাঠ লাইন
0,0.125,wood grain,কাঠ শস্য
0,0,wood pulp,কাঠ সজ্জা
0,0,wood anemone,কাঠ সপ্তাহের দিন
0,0,wood stork,কাঠ সারস
0,0,wood strawberry,কাঠ স্ট্রবেরি
0,0,wood widgeon,কাঠ হংসবিশেষ
0,0,wood duck,কাঠ হাঁস
0,0,wood hoopoe,কাঠ হুদহুদের
0,0,charcoal,কাঠকয়লা
0,0,charcoal-gray,কাঠকয়লা ধূসর
0,0,charcoal burner,কাঠকয়লা প্রস্তুতকারী ব্যক্তি
0.5,0.25,unemotional person,কাঠখোট্টা ব্যক্তি
0,0,woodpecker,কাঠঠোকরা
0,0,chestnut tree,কাঠবাদাম গাছ
0,0,squirrel,কাঠবিড়াল
0.125,0,squirrel-sized,কাঠবিড়াল আকারের
0,0,squirrel cage,কাঠবিড়াল খাঁচা
0,0,squirrel monkey,কাঠবিড়াল বানর
0,0,squirrel corn,কাঠবিড়াল ভূট্টা
0,0,chipmunk,কাঠবিড়ালবিশেষ
0,0,drey,কাঠবিড়ালির বাসা
0,0,kathmandu,কাঠমান্ডু
0,0,structural,কাঠামোগত
0,0,structural gene,কাঠামোগত জিন
0,0,structural genomics,কাঠামোগত জিনোমিক্স
0,0,structural anthropology,কাঠামোগত নৃবিদ্যা
0,0,structural linguistics,কাঠামোগত ভাষাবিদ্যা
0,0,structural iron,কাঠামোগত লোহা
0,0,structural member,কাঠামোগত সদস্য
0,0,structural sociology,কাঠামোগত সমাজবিজ্ঞান
0,0,outrigged,কাঠামোযুক্ত
0,0,outrigger canoe,কাঠামোযুক্ত ক্যানো
0,0,coinciding,কাঠে
0,0,woodcut,কাঠে খোদাই ছবি
0,0,wooden,কাঠের
0,0,wood-rat,কাঠের ইঁদুর
0,0,woodworker,কাঠের কারিগর
0,0,chump change,কাঠের খণ্ড পরিবর্তন
0,0,spile,কাঠের গোঁজ
0,0,wooden horse,কাঠের ঘোড়া
0,0,wooden spoon,কাঠের চামচ
0,0,sliver,কাঠের ছিলকা
0,0,wooden shoe,কাঠের জুতো
0,0,wood block,কাঠের টুকরা
0,0.125,veneering,কাঠের পাতলা পাতরূপে
0,0,trestle,কাঠের পায়া
0,0,trestle table,কাঠের পায়া টেবিল
0,0,trestle bridge,কাঠের পায়া সেতু
0,0,croquet,কাঠের বলখেলা
0,0,croquet ball,কাঠের বলখেলা বল
0,0,croquet mallet,কাঠের বলখেলা মুষল
0,0,croquet equipment,কাঠের বলখেলা সরঞ্জাম
0,0,bassoon,কাঠের বান্শিবিশেষ
0,0,sheathing,কাঠের বোর্ড
0,0,woodworking vise,কাঠের ভীসা
0,0,sawdust,কাঠের মিহি গুঁড়ো
0,0,sawdust doll,কাঠের মিহি গুঁড়ো পুতুল
0,0,sawdust mushroom,কাঠের মিহি গুঁড়ো মাশরুম
0,0.25,sawdust saloon,কাঠের মিহি গুঁড়ো সেলুন
0,0,wood-creeper,কাঠের লতা
0,0,woodworking plane,কাঠের সমতল
0,0,scrimmage,কাড়াকাড়ি
0,0,cadiz,কাডিজ
0,0,lug,কাণ
0,0,lug wrench,কাণ রেঞ্চ
0,0,kantian,কাণ্ট বা তাঁর দর্শন সম্বন্ধীয়
0,0,cord,কাণ্ড
0,0.25,gumption,কাণ্ডজ্ঞান
0.125,0.125,level-headed,কাণ্ডজ্ঞানবিশিষ্ট
0,0,cauline,কাণ্ডস্থ
0,0,stemless daisy,কাণ্ডহীন ডেজি
0,0,stemless golden weed,কাণ্ডহীন সুবর্ণ আগাছা
0,0,coxswain,কাণ্ডারী
0,0,tilting board,কাত বোর্ড
0,0,katsura tree,কাতসুরা গাছ
0,0.125,tow,কাতা
0,0,towrope,কাতা দড়ি
0,0,katar,কাতার
0,0,katar peninsula,কাতার উপদ্বীপ
0,0,qatari,কাতারি
0,0,qatari monetary unit,কাতারি আর্থিক ইউনিট
0,0,qatari dirham,কাতারি দিরহাম
0,0,qatari riyal,কাতারি রিয়াল
0.125,0,sidle,কাতিয়ে যাওয়া
0,0,mud,কাদা
0,0,mud dauber,কাদা অদক্ষ চিত্রকর
0,0,mud-brick,কাদা ইঁটের
0,0,mud brick,কাদা ইট
0,0,mud turtle,কাদা কচ্ছপ
0,0,mud plantain,কাদা কলা
0,0,mud puppy,কাদা কুকুরছানা
0,0,mud digger,কাদা খনক
0,0.25,mud puddle,কাদা খানা
0,0.375,mud stain,কাদা দাগ
0,0,mud pie,কাদা পাই
0,0.5,mud midget,কাদা বামন
0,0,stick-in-the-mud,কাদা বিদ্ধ
0.125,0,drag through the mud,কাদা মাধ্যমে টেনে নিয়ে
0,0.5,mud hen,কাদা মুরগি
0.125,0.25,mud bath,কাদা স্নান
0,0,sloughy,কাদা-কাদা
0,0.125,mud-wrestle,কাদা-কুস্তি
0,0,clay,কাদামাটি
0,0,clay pipe,কাদামাটি নল
0,0,clay pigeon,কাদামাটি পায়রা
0,0,clay sculpture,কাদামাটি ভাস্কর্য
0,0,cannes,কান
0,0,ear lobe,কান কানের লতি
0,0,ear canal,কান খাল
0,0,ear hole,কান গর্ত
0,0,ear trumpet,কান ডঙ্কা
0,0,ear doctor,কান ডাক্তার
0,0,give ear,কান দিতে
0,0,play it by ear,কান দ্বারা এটি খেলা
0.125,0.375,tympanitis,কান পাকা
0,0,earplug,কান প্লাগ
0,0,ear specialist,কান বিশেষজ্ঞ
0,0,cancun,কানকুন
0,0,branchial arch,কানকো খিলান
0,0,branchial,কানকোয়ালা
0,0,lop-eared,কান-ঝোলা
0,0,kansas,কানসাস
0,0,kansas city,কানসাস নগর
0,0,kansas river,কানসাস নদী
0,0,kansu,কানসু
0,0,marge,কানা
0,0.5,blind alley,কানাগলি
0,0,canada,কানাডা
0,0,canara,কানাড়া
0,0,canada ginger,কানাডা আদা
